Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Burundi,BDI,"Population, total",SP.POP.TOTL,6374347,6499653,6656071,6838764,7039534,7251424,7474363,7707781,7943385,8170853,8382849,8575172,
Burundi,BDI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2847168444.10971,2973094157.06974,3163702445.31933,3209719711.48664,3454637560.96541,3579489308.95729,3860248296.3404,4151219354.26051,4449182901.63458,4667751224.24512,4876003573.87422,5193154857.02654,
Cambodia,KHM,"Population, total",SP.POP.TOTL,12446949,12653684,12845222,13024171,13193961,13357574,13515884,13669857,13822644,13977903,14138255,14305183,
Cambodia,KHM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,11058204038.9712,12197866730.1778,13097333877.6983,14599039345.8946,16524730033.2479,19223632022.8447,22066140895.0817,24983324922.3043,27086566075.0931,27540858686.3357,29366258189.5914,31841100784.223,
Cameroon,CMR,"Population, total",SP.POP.TOTL,15678269,16039737,16408085,16783366,17165267,17553589,17948395,18350022,18758778,19175028,19598889,20030362,
Cameroon,CMR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,24129360152.8879,25560707182.2306,27319783136.4195,29739149835.7265,32137741356.9198,33829846345.3492,36619209902.9328,38542977646.3963,40697152346.5471,42571889957.2391,43832559440.276,46690102139.8457,
Canada,CAN,"Population, total",SP.POP.TOTL,30769700,31081900,31362000,31676000,31995000,32312000,32576074,32929733,33319098,33729690,34126181,34482779,
Canada,CAN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,851326568057.971,884103108687.326,914346677215.212,965961300143.521,1027447738222.04,1110784515255.98,1189061073291.64,1246703294190.62,1282544380362.8,1254337382960.54,1309486991244.93,1367594947665.97,
Cape Verde,CPV,"Population, total",SP.POP.TOTL,437238,445096,452740,460031,466784,472883,478267,483023,487371,491621,495999,500585,
Cape Verde,CPV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,826244892.714029,910924223.453966,961854443.220634,1034293492.68538,1106811843.75181,1199549598.15451,1355413352.33508,1542186268.85349,1662720371.37408,1752674153.33925,1824535475.6361,1990537570.17982,
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,40195,42501,45117,47815,50273,52268,53712,54679,55295,55763,56230,56729,
Cayman Islands,CYM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
Central African Republic,CAF,"Population, total",SP.POP.TOTL,3701607,3767068,3829238,3890075,3952281,4017880,4087534,4160940,4237961,4318128,4401051,4486837,
Central African Republic,CAF,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2457479032.14538,2543383231.29494,2567206125.40883,2451663959.27913,2524272497.96473,2679589597.22375,2870515977.54828,3067614001.33159,3181302234.22834,3280898281.32592,3431987783.44315,3624003049.58843,
Chad,TCD,"Population, total",SP.POP.TOTL,8222327,8517944,8831199,9153893,9474792,9785902,10084087,10371839,10653762,10937089,11227208,11525496,
Chad,TCD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,5405042569.29049,6168440489.23579,6684574187.82088,6723683069.10047,9346359758.01552,10847223161.7375,11145774203.6662,11886743063.0758,11680571752.434,13773624246.4364,15283463738.0739,15696820733.6462,
Channel Islands,CHI,"Population, total",SP.POP.TOTL,145330,145995,146626,147262,147963,148763,149682,150689,151705,152618,153352,153876,
Channel Islands,CHI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
Chile,CHL,"Population, total",SP.POP.TOTL,15419820,15604200,15783991,15959793,16132209,16301726,16468677,16633254,16795593,16955737,17113688,17269525,
Chile,CHL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,144662723102.731,153165716902.815,158102110616.774,164823529164.384,175782872397.256,191142276101.962,198032067724.581,217115503605.787,238805953115.508,240310011585.416,257401947301.037,282080505722.456,
China,CHN,"Population, total",SP.POP.TOTL,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331380000,1337825000,1344130000,
China,CHN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,2951384780030.48,3261412516516.83,3631368542759.52,4101327143082.81,4656288582788.99,5325984094874.07,6228116323456.43,7349675594650.25,8247191419423.51,9102204164572.27,10059076657464.4,11270762968446.3,
Colombia,COL,"Population, total",SP.POP.TOTL,39764166,40422597,41078136,41731914,42385712,43040558,43696540,44352327,45005782,45654044,46294841,46927125,
Colombia,COL,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,228137541789.549,236313743786.754,245483851552.039,258673317721.227,279937391293.725,302675030401.662,333644263926.005,366282350214.066,386358011915.683,398708553837.794,416850846207.475,448554150295.059,
Comoros,COM,"Population, total",SP.POP.TOTL,562469,577569,593170,609271,625876,642974,660559,678602,697034,715774,734750,753943,
Comoros,COM,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,524574745.989455,555186346.665917,583952100.603276,607279835.554329,624806286.467029,674997705.950363,708139656.056081,734539696.090645,755253456.428811,777707166.044903,797364129.257229,836172413.57338,
"Congo, Dem. Rep.",ZAR,"Population, total",SP.POP.TOTL,49626200,50989424,52491329,54098245,55754885,57420522,59088415,60772175,62474901,64204304,65965795,67757577,
"Congo, Dem. Rep.",ZAR,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,10420815304.0817,10547512638.4111,11410409485.9845,12504233331.0476,13604346338.0932,14782725096.6339,16411845184.609,17752967330.7675,18222373820.7845,10717544440.3841,21518603185.2105,23209984776.3396,
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,3135773,3213330,3288923,3365171,3445765,3533177,3628561,3730612,3836339,3941454,4042899,4139748,
"Congo, Rep.",COG,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,6136797142.56168,6492318928.46171,7051200291.08388,7438597718.01153,7298040208.24475,7913759490.23683,8651173100.7511,9125876978.44261,10584885576.6666,11339559472.9857,12830023036.7959,13404745767.2254,
Costa Rica,CRI,"Population, total",SP.POP.TOTL,3919180,4002946,4083197,4160438,4235605,4309413,4381820,4452608,4522124,4590790,4658887,4726575,
Costa Rica,CRI,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,26074712146.7625,28024598580.5883,29477653413.5791,31872411485.2456,34132225043.0653,37439330120.0177,42346282126.9268,47212580843.7202,49735852715.6188,49614363782.705,52477169312.5094,56052009522.9957,
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,16581653,16892864,17180649,17455501,17731840,18020946,18325979,18646754,18987007,19350026,19737800,20152894,
Cote d'Ivoire,CIV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,24840763576.7139,25597656857.5778,25665097782.3156,25984804129.9846,27367136979.8958,28700361364.1179,29805867219.5216,31202009514.9461,32728449363.9841,34367980901.3077,35414360517.397,34504923527.8165,
Croatia,HRV,"Population, total",SP.POP.TOTL,4426000,4440000,4440000,4440000,4439000,4442000,4440000,4436000,4434000,4429000,4418000,4407000,
Croatia,HRV,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,47426348245.7616,50848401989.5579,54929509095.3043,57631330571.2586,63052916479.6095,66296846197.5227,72409020434.5525,80835399133.3352,86599962486.9567,81444432734.4388,79708041174.2074,82685495929.9026,
Cuba,CUB,"Population, total",SP.POP.TOTL,11104313,11140168,11175434,11208029,11234970,11254242,11265124,11268687,11266905,11262628,11257979,11253665,
Cuba,CUB,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
Curacao,CUW,"Population, total",SP.POP.TOTL,133860,128752,128182,130006,131591,134465,137490,139841,141279,141972,143784,145619,
Curacao,CUW,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,,,,,,,,,,,,,
Cyprus,CYP,"Population, total",SP.POP.TOTL,943294,961482,979874,998134,1015806,1032562,1048272,1063027,1077001,1090473,1103647,1116564,
Cyprus,CYP,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,12611198420.1073,13886503712.9747,14679850627.9969,15410730558.1473,16421980637.7622,17728867353.0701,19345385890.1539,20677694092.6072,23626756646.2039,24748726665.1598,24889422403.911,,
Czech Republic,CZE,"Population, total",SP.POP.TOTL,10272322,10236491,10204853,10207362,10216016,10235828,10269134,10334160,10424336,10487178,10519792,10546000,
Czech Republic,CZE,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,156951531156.867,167351234257.734,172662946067.003,184870117829.579,195242395122.369,208484963910.48,226308552737.632,243903148606.336,257188615356.251,251020472325.221,246754260209.543,257018072378.531,
Denmark,DNK,"Population, total",SP.POP.TOTL,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5574000,
