# Territory names from CLDR
ਅਸੈਂਸ਼ਨ ਟਾਪੂ	અસૈંસ઼ન ટાપૂ
ਇਰਾਕ	ઇરાક
ਈਰਾਨ	ઈરાન
ਆਈਸਲੈਂਡ	આઈસલૈંડ
ਇਟਲੀ	ઇટલી
ਜਰਸੀ	જરસી
ਜਮਾਇਕਾ	જમાઇકા
ਜਾਰਡਨ	જારડન
ਜਪਾਨ	જપાન
ਕੀਨੀਆ	કીનીઆ
ਕਿਰਗਿਜ਼ਸਤਾਨ	કિરગિજ઼સતાન
ਕੰਬੋਡੀਆ	કબોડીઆ
ਕਿਰਬਾਤੀ	કિરબાતી
ਕੋਮੋਰੋਸ	કોમોરોસ
ਸੈਂਟ ਕਿਟਸ ਐਂਡ ਨੇਵਿਸ	સૈંટ કિટસ ઐંડ નેવિસ
ਉੱਤਰੀ ਕੋਰੀਆ	ઉતરી કોરીઆ
ਦੱਖਣੀ ਕੋਰੀਆ	દખણી કોરીઆ
ਕੁਵੈਤ	કુવૈત
ਕੇਮੈਨ ਟਾਪੂ	કેમૈન ટાપૂ
ਕਜ਼ਾਖਸਤਾਨ	કજ઼ાખસતાન
ਲਾਓਸ	લાઓસ
ਲੈਬਨਾਨ	લૈબનાન
ਸੇਂਟ ਲੂਸੀਆ	સેંટ લૂસીઆ
ਲਿਚੇਂਸਟਾਇਨ	લિચેંસટાઇન
ਸ੍ਰੀ ਲੰਕਾ	સ્રી લકા
ਲਾਈਬੀਰੀਆ	લાઈબીરીઆ
ਲੇਸੋਥੋ	લેસોથો
ਲਿਥੁਆਨੀਆ	લિથુઆનીઆ
ਲਕਜ਼ਮਬਰਗ	લકજ઼મબરગ
ਲਾਟਵੀਆ	લાટવીઆ
ਲੀਬੀਆ	લીબીઆ
ਮੋਰੱਕੋ	મોરકો
ਮੋਨਾਕੋ	મોનાકો
ਮੋਲਡੋਵਾ	મોલડોવા
ਮੋਂਟੇਨੇਗਰੋ	મોંટેનેગરો
ਸੇਂਟ ਮਾਰਟਿਨ	સેંટ મારટિન
ਮੈਡਾਗਾਸਕਰ	મૈડાગાસકર
ਮਾਰਸ਼ਲ ਟਾਪੂ	મારસ઼લ ટાપૂ
ਮੈਕਡੋਨੀਆ	મૈકડોનીઆ
ਮੈਕਡੋਨੀਆ (ਪੂਰਵ ਯੂਗੋਸਲਾਵ ਮੈਕਡੋਨੀਆਈ ਗਣਰਾਜ)	મૈકડોનીઆ (પૂરવ યૂગોસલાવ મૈકડોનીઆઈ ગણરાજ)
ਮਾਲੀ	માલી
ਮਿਆਂਮਾਰ (ਬਰਮਾ)	મિઆંમાર (બરમા)
ਮੰਗੋਲੀਆ	મગોલીઆ
ਮਕਾਉ ਐਸਏਆਰ ਚੀਨ	મકાઉ ઐસએઆર ચીન
ਮਕਾਉ	મકાઉ
ਉੱਤਰੀ ਮਾਰੀਆਨਾ ਟਾਪੂ	ઉતરી મારીઆના ટાપૂ
ਮਾਰਟੀਨਿਕ	મારટીનિક
ਮੋਰਿਟਾਨੀਆ	મોરિટાનીઆ
ਮੋਂਟਸੇਰਾਤ	મોંટસેરાત
