# Territory names from CLDR
അസൻഷൻ ദ്വീപ്	ಅಸൻಷൻ ದ್ವೀಪ್
മാലി	ಮಾಲಿ
മ്യാൻമാർ (ബർമ്മ)	ಮ್ಯಾൻಮಾർ (ಬർಮ್ಮ)
മംഗോളിയ	ಮಂಗೇಾಳಿಯ
മക്കാവു (SAR) ചൈന	ಮಕ್ಕಾವು (SAR) ಚೈನ
മക്കാവു	ಮಕ್ಕಾವು
ഉത്തര മറിയാനാ ദ്വീപുകൾ	ಉತ್ತರ ಮಱಿಯಾನಾ ದ್ವೀಪುಕൾ
മാർട്ടിനിക്ക്	ಮಾർಟ್ಟಿನಿಕ್ಕ್
മൗറിറ്റാനിയ	ಮೌಱಿಱ್ಱಾನಿಯ
മൊണ്ടെസരത്ത്	ಮೆಾಣ್ಟೆಸರತ್ತ್
മാൾട്ട	ಮಾൾಟ್ಟ
മൗറീഷ്യസ്	ಮೌಱೀಷ್ಯಸ್
മാലിദ്വീപ്	ಮಾಲಿದ್ವೀಪ್
മലാവി	ಮಲಾವಿ
മെക്സിക്കോ	ಮೆಕ್ಸಿಕ್ಕೇಾ
മലേഷ്യ	ಮಲೇಷ್ಯ
മൊസാംബിക്ക്	ಮೆಾಸಾಂಬಿಕ್ಕ್
നമീബിയ	ನಮೀಬಿಯ
പുതിയ കാലിഡോണിയ	ಪುತಿಯ ಕಾಲಿಡೇಾಣಿಯ
നൈജർ	ನೈಜർ
നോർഫോക് ദ്വീപ്	ನೇಾർಫೇಾಕ್ ದ್ವೀಪ್
നൈജീരിയ	ನೈಜೀರಿಯ
നിക്കരാഗ്വ	ನಿಕ್ಕರಾಗ್ವ
നെതർലാൻഡ്‌സ്	ನೆತർಲಾൻಡ್‌ಸ್
നോർവെ	ನೇಾർವೆ
നേപ്പാൾ	ನೇಪ್ಪಾൾ
നൗറു	ನೌಱು
ന്യൂയി	ನ್ಯೂಯಿ
ന്യൂസിലാൻറ്	ನ್ಯೂಸಿಲಾൻಱ್
ഒമാൻ	ಒಮಾൻ
പനാമ	ಪನಾಮ
പെറു	ಪೆಱು
ഫ്രഞ്ച് പോളിനേഷ്യ	ಫ್ರಞ್ಚ್ ಪೇಾಳಿನೇಷ್ಯ
പാപ്പുവ ന്യൂ ഗിനിയ	ಪಾಪ್ಪುವ ನ್ಯೂ ಗಿನಿಯ
ഫിലിപ്പൈൻസ്	ಫಿಲಿಪ್ಪೈൻಸ್
പാക്കിസ്ഥാൻ	ಪಾಕ್ಕಿಸ್ಥಾൻ
പോളണ്ട്	ಪೇಾಳಣ್ಟ್
സെന്റ് പിയറിയും മിക്കലണും	ಸೆನ್ಱ್ ಪಿಯಱಿಯುಂ ಮಿಕ್ಕಲಣುಂ
പിറ്റ്‌കെയ്‌ൻ ദ്വീപുകൾ	ಪಿಱ್ಱ್‌ಕೆಯ್‌ൻ ದ್ವೀಪುಕൾ
പ്യൂർട്ടോ റിക്കോ	ಪ್ಯೂർಟ್ಟೇಾ ಱಿಕ್ಕೇಾ
പാലസ്‌തീൻ പ്രദേശങ്ങൾ	ಪಾಲಸ್‌ತೀൻ ಪ್ರದೇಶಙ್ಙൾ
പലസ്‌തീൻ	ಪಲಸ್‌ತೀൻ
പോർച്ചുഗൽ	ಪೇಾർಚ್ಚುಗൽ
പലാവു	ಪಲಾವು
പരാഗ്വേ	ಪರಾಗ್ವೇ
ഖത്തർ	ಖತ್ತർ
ദ്വീപസമൂഹം	ದ್ವೀಪಸಮೂಹಂ
റീയൂണിയൻ	ಱೀಯೂಣಿಯൻ
റൊമാനിയ	ಱೆಾಮಾನಿಯ
സെർബിയ	ಸೆർಬಿಯ
റഷ്യ	ಱಷ್ಯ
