# Territory names from CLDR
அஷன்ஷியன் தீவு	अषऩ्षियऩ् तीवु
செயின்ட் பியர் &amp; மிக்வேலான்	चॆयिऩ्ट् पियर् &amp; मिक्वेलाऩ्
பிட்கெய்ர்ன் தீவுகள்	पिट्कॆय्र्ऩ् तीवुकळ्
பியூர்டோ ரிகோ	पियूर्टो रिको
பாலஸ்தீனிய பிரதேசங்கள்	पालस्तीऩिय पिरतेचङ्कळ्
பாலஸ்தீனம்	पालस्तीऩम्
போர்ச்சுக்கல்	पोर्च्चुक्कल्
பாலோ	पालो
பராகுவே	पराकुवे
கத்தார்	कत्तार्
வெளிப்புற ஓஷியானியா	वॆळिप्पुऱ ओषियाऩिया
ரீயூனியன்	रीयूऩियऩ्
ருமேனியா	रुमेऩिया
செர்பியா	चॆर्पिया
ரஷ்யா	रष्या
ருவான்டா	रुवाऩ्टा
சவூதி அரேபியா	चवूति अरेपिया
சாலமன் தீவுகள்	चालमऩ् तीवुकळ्
சீஷெல்ஸ்	चीषॆल्स्
சூடான்	चूटाऩ्
ஸ்வீடன்	स्वीटऩ्
சிங்கப்பூர்	चिङ्कप्पूर्
செயின்ட் ஹெலெனா	चॆयिऩ्ट् हॆलॆऩा
ஸ்லோவேனியா	स्लोवेऩिया
ஸ்வல்பார்டு &amp; ஜான் மேயன்	स्वल्पार्टु &amp; जाऩ् मेयऩ्
ஸ்லோவாகியா	स्लोवाकिया
சியாரா லியோன்	चियारा लियोऩ्
சான் மரினோ	चाऩ् मरिऩो
செனெகல்	चॆऩॆकल्
சோமாலியா	चोमालिया
சுரினாம்	चुरिऩाम्
தெற்கு சூடான்	तॆऱ्कु चूटाऩ्
சாவ் தோம் &amp; ப்ரின்சிபி	चाव् तोम् &amp; प्रिऩ्चिपि
எல் சால்வடார்	ऎल् चाल्वटार्
சின்ட் மார்டென்	चिऩ्ट् मार्टॆऩ्
சிரியா	चिरिया
ஸ்வாஸிலாந்து	स्वासिलान्तु
டிரிஸ்டன் டா குன்ஹா	टिरिस्टऩ् टा कुऩ्हा
டர்க்ஸ் &amp; கைகோஸ் தீவுகள்	टर्क्स् &amp; कैकोस् तीवुकळ्
சாட்	चाट्
பிரெஞ்சு தெற்கு பிரதேசங்கள்	पिरॆञ्चु तॆऱ्कु पिरतेचङ्कळ्
டோகோ	टोको
தாய்லாந்து	ताय्लान्तु
