# Territory names from CLDR
ਅਸੈਂਸ਼ਨ ਟਾਪੂ	ଅସୈଂସ଼ନ ଟାପୂ
ਪੋਲੈਂਡ	ପୋଲୈଂଡ
ਸੈਂਟ ਪੀਅਰੇ ਐਂਡ ਮਿਕੇਲਨ	ସୈଂଟ ପୀଅରେ ଐଂଡ ମିକେଲନ
ਪਿਟਕੇਰਨ ਟਾਪੂ	ପିଟକେରନ ଟାପୂ
ਪਿਊਰਟੋ ਰਿਕੋ	ପିଊରଟୋ ରିକୋ
ਫਿਲੀਸਤੀਨੀ ਖੇਤਰ	ଫିଲୀସତୀନୀ ଖେତର
ਫਿਲੀਸਤੀਨ	ଫିଲୀସତୀନ
ਪੁਰਤਗਾਲ	ପୁରତଗାଲ
ਪਲਾਉ	ପଲାଉ
ਪੈਰਾਗਵੇ	ପୈରାଗଵେ
ਕਤਰ	କତର
ਆਊਟਲਾਇੰਗ ਓਸ਼ੀਨੀਆ	ଆଊଟଲାଇଗ ଓସ଼ୀନୀଆ
ਰਿਯੂਨੀਅਨ	ରିଯୂନୀଅନ
ਰੋਮਾਨੀਆ	ରୋମାନୀଆ
ਸਰਬੀਆ	ସରବୀଆ
ਰੂਸ	ରୂସ
ਰਵਾਂਡਾ	ରଵାଂଡା
ਸਾਊਦੀ ਅਰਬ	ସାଊଦୀ ଅରବ
ਸੋਲੋਮਨ ਟਾਪੂ	ସୋଲୋମନ ଟାପୂ
ਸੇਸ਼ਲਸ	ସେସ଼ଲସ
ਸੂਡਾਨ	ସୂଡାନ
ਸਵੀਡਨ	ସଵୀଡନ
ਸਿੰਗਾਪੁਰ	ସିଗାପୁର
ਸੇਂਟ ਹੇਲੇਨਾ	ସେଂଟ ହେଲେନା
ਸਲੋਵੇਨੀਆ	ସଲୋଵେନୀଆ
ਸਵਾਲਬਰਡ ਅਤੇ ਜਾਨ ਮਾਯੇਨ	ସଵାଲବରଡ ଅତେ ଜାନ ମାଯେନ
ਸਲੋਵਾਕੀਆ	ସଲୋଵାକୀଆ
ਸਿਏਰਾ ਲਿਓਨ	ସିଏରା ଲିଓନ
ਸੈਨ ਮਰੀਨੋ	ସୈନ ମରୀନୋ
ਸੇਨੇਗਲ	ସେନେଗଲ
ਸੋਮਾਲੀਆ	ସୋମାଲୀଆ
ਸੂਰੀਨਾਮ	ସୂରୀନାମ
ਦੱਖਣੀ ਸੂਡਾਨ	ଦଖଣୀ ସୂଡାନ
ਸਾਓ ਟੋਮ ਅਤੇ ਪ੍ਰਿੰਸੀਪੇ	ସାଓ ଟୋମ ଅତେ ପ୍ରିସୀପେ
ਅਲ ਸਲਵਾਡੋਰ	ଅଲ ସଲଵାଡୋର
ਸਿੰਟ ਮਾਰਟੀਨ	ସିଟ ମାରଟୀନ
ਸੀਰੀਆ	ସୀରୀଆ
ਸਵਾਜ਼ੀਲੈਂਡ	ସଵାଜ଼ୀଲୈଂଡ
ਟ੍ਰਿਸਟਾਨ ਦਾ ਕੁੰਹਾ	ଟ୍ରିସଟାନ ଦା କୁହା
ਟੁਰਕਸ ਅਤੇ ਕੈਕੋਸ ਟਾਪੂ	ଟୁରକସ ଅତେ କୈକୋସ ଟାପୂ
ਚਾਡ	ଚାଡ
ਫਰੈਂਚ ਦੱਖਣੀ ਪ੍ਰਦੇਸ਼	ଫରୈଂଚ ଦଖଣୀ ପ୍ରଦେସ଼
ਟੋਗੋ	ଟୋଗୋ
ਥਾਈਲੈਂਡ	ଥାଈଲୈଂଡ
ਤਾਜਿਕਿਸਤਾਨ	ତାଜିକିସତାନ
