# Territory names from CLDR
असेंशन द्वीप	ಅಸೇಂಶನ ದ್ವೀಪ
मोंटेनेग्रो	ಮೋಂಟೇನೇಗ್ರೋ
सेंट मार्टिन	ಸೇಂಟ ಮಾರ್ಟಿನ
मेडागास्कर	ಮೇಡಾಗಾಸ್ಕರ
मार्शल द्वीपसमूह	ಮಾರ್ಶಲ ದ್ವೀಪಸಮೂಹ
मैसिडोनिया	ಮೈಸಿಡೋನಿಯಾ
मैसिडोनिया (FYROM)	ಮೈಸಿಡೋನಿಯಾ (FYROM)
माली	ಮಾಲೀ
म्यांमार (बर्मा)	ಮ್ಯಾಂಮಾರ (ಬರ್ಮಾ)
मंगोलिया	ಮಂಗೋಲಿಯಾ
मकाऊ (विशेष प्रशासनिक क्षेत्र चीन)	ಮಕಾಊ (ವಿಶೇಷ ಪ್ರಶಾಸನಿಕ ಕ್ಷೇತ್ರ ಚೀನ)
मकाऊ	ಮಕಾಊ
उत्तरी मारियाना द्वीपसमूह	ಉತ್ತರೀ ಮಾರಿಯಾನಾ ದ್ವೀಪಸಮೂಹ
मार्टीनिक	ಮಾರ್ಟೀನಿಕ
मॉरिटानिया	ಮೊರಿಟಾನಿಯಾ
मोंटसेरात	ಮೋಂಟಸೇರಾತ
माल्टा	ಮಾಲ್ಟಾ
मॉरिशस	ಮೊರಿಶಸ
मालदीव	ಮಾಲದೀವ
मलावी	ಮಲಾವೀ
मैक्सिको	ಮೈಕ್ಸಿಕೋ
मलेशिया	ಮಲೇಶಿಯಾ
मोज़ांबिक	ಮೋಜ಼ಾಂಬಿಕ
नामीबिया	ನಾಮೀಬಿಯಾ
न्यू कैलेडोनिया	ನ್ಯೂ ಕೈಲೇಡೋನಿಯಾ
नाइजर	ನಾಇಜರ
नॉरफ़ॉक द्वीप	ನೊರಫ಼ೊಕ ದ್ವೀಪ
नाइजीरिया	ನಾಇಜೀರಿಯಾ
निकारागुआ	ನಿಕಾರಾಗುಆ
नीदरलैंड	ನೀದರಲೈಂಡ
नॉर्वे	ನೊರ್ವೇ
नेपाल	ನೇಪಾಲ
नाउरु	ನಾಉರು
नीयू	ನೀಯೂ
न्यूज़ीलैंड	ನ್ಯೂಜ಼ೀಲೈಂಡ
ओमान	ಓಮಾನ
पनामा	ಪನಾಮಾ
पेरू	ಪೇರೂ
फ़्रेंच पोलिनेशिया	ಫ಼್ರೇಂಚ ಪೋಲಿನೇಶಿಯಾ
पापुआ न्यू गिनी	ಪಾಪುಆ ನ್ಯೂ ಗಿನೀ
फ़िलिपींस	ಫ಼ಿಲಿಪೀಂಸ
पाकिस्तान	ಪಾಕಿಸ್ತಾನ
पोलैंड	ಪೋಲೈಂಡ
सेंट पिएरे और मिक्वेलान	ಸೇಂಟ ಪಿಏರೇ ಔರ ಮಿಕ್ವೇಲಾನ
पिटकैर्न द्वीपसमूह	ಪಿಟಕೈರ್ನ ದ್ವೀಪಸಮೂಹ
पोर्टो रिको	ಪೋರ್ಟೋ ರಿಕೋ
फ़िलिस्तीनी क्षेत्र	ಫ಼ಿಲಿಸ್ತೀನೀ ಕ್ಷೇತ್ರ
फ़िलिस्तीन	ಫ಼ಿಲಿಸ್ತೀನ
पुर्तगाल	ಪುರ್ತಗಾಲ
पलाऊ	ಪಲಾಊ
