# Territory names from CLDR
એસેન્શન આઇલેન્ડ	ஏஸேந்ஶந ஆஇலேந்ட
દક્ષિણ સુદાન	தக்ஷிண ஸுதாந
સાઓ ટૉમ અને પ્રિંસિપે	ஸாஓ டாம அநே ப்ரிஂஸிபே
એલ સેલ્વાડોર	ஏல ஸேல்வாடோர
સિંટ માર્ટેન	ஸிஂட மார்டேந
સીરિયા	ஸீரியா
સ્વાઝિલેન્ડ	ஸ்வாசிலேந்ட
ત્રિસ્તાન દા કુન્હા	த்ரிஸ்தாந தா குந்ஹா
તુર્ક્સ અને કાઇકોસ ટાપુઓ	துர்க்ஸ அநே காஇகோஸ டாபுஓ
ચાડ	சாட
ફ્રેંચ સદર્ન ટેરિટરીઝ	ப்ரேஂச ஸதர்ந டேரிடரீச
ટોગો	டோகோ
થાઇલેંડ	தாஇலேஂட
તાજીકિસ્તાન	தாஜீகிஸ்தாந
ટોકેલાઉ	டோகேலாஉ
તિમોર-લેસ્તે	திமோர-லேஸ்தே
પૂર્વ તિમોર	பூர்வ திமோர
તુર્કમેનિસ્તાન	துர்கமேநிஸ்தாந
ટ્યુનિશિયા	ட்யுநிஶியா
ટોંગા	டோஂகா
તુર્કી	துர்கீ
ટ્રિનીદાદ અને ટોબેગો	ட்ரிநீதாத அநே டோபேகோ
તુવાલુ	துவாலு
તાઇવાન	தாஇவாந
તાંઝાનિયા	தாஂசாநியா
યુક્રેન	யுக்ரேந
યુગાંડા	யுகாஂடா
સંયુક્ત રાજ્ય આઉટલાઇંગ આયલેન્ડ્સ	ஸஂயுக்த ராஜ்ய ஆஉடலாஇஂக ஆயலேந்ட்ஸ
સંયુકત રાજ્ય અમેરિકા	ஸஂயுகத ராஜ்ய அமேரிகா
ઉરુગ્વે	உருக்வே
ઉઝ્બેકિસ્તાન	உச்பேகிஸ்தாந
વેટિકન સિટી	வேடிகந ஸிடீ
સેન્ટ વિન્સેટ અને ગ્રેનેડીન્સ	ஸேந்ட விந்ஸேட அநே க்ரேநேடீந்ஸ
વેનેઝુએલા	வேநேசுஏலா
બ્રિટિશ વર્જિન ટાપુઓ	ப்ரிடிஶ வர்ஜிந டாபுஓ
વિયેતનામ	வியேதநாம
વાનુઆતુ	வாநுஆது
વેલીસ અને ફ્યુટુના	வேலீஸ அநே ப்யுடுநா
સમોઆ	ஸமோஆ
કોસોવો	கோஸோவோ
યેમેન	யேமேந
મેયોટ	மேயோட
દક્ષિણ આફ્રિકા	தக்ஷிண ஆப்ரிகா
ઝામ્બિયા	சாம்பியா
ઝિમ્બાબ્વે	சிம்பாப்வே
અજ્ઞાત પ્રદેશ	அஜ்ஞாத ப்ரதேஶ
