# Baby names
జతాస్యా	جتاسیا
జత్యా	جتیا
జనకనందినీ	جنكنندینی
జనావ	جناو
జన్మయా	جنمیا
జప్తేశ	جبتیش
జమునా	جمونا
జయకిరన	جیكیرن
జయప్రభా	جیبربها
జయలేన	جیلین
జయాద్రాతా	جیادراتا
జయాన్థ్య	جیانتهی
జరాసంధా	جراسندها
జలధర	جلدهر
జలస	جلس
జలార్క	جلارك
జలీతా	جلیتا
జవాస	جواس
జవాహరీ	جواهری
జశంక	جشنك
జసల	جسل
జసు	جسو
జసోదా	جسودا
జస్మీథా	جسمیتها
జస్మీథ్యా	جسمیتهیا
జస్వందీ	جسوندی
జహానవీ	جهانوی
జహితా	جهیتا
జహేన్కార	جهینكار
జాంసీ	جانسی
జాగృతి	جاجرتی
జాగేశ	جاجیش
జాగ్రతి	جاجرتی
జాఝీమ	جاجهیم
జానవీ	جانوی
జిఅనా	جیانا
జిగీషా	جیجیشا
జితేన్ద్రియ	جیتیندریی
జిల్పా	جیلبا
జీగాయాంశ	جیجایانش
జీజీద	جیجید
జీజేశ	جیجیش
జీతాకమ	جیتاكم
జీతేశ	جیتیش
జీనయ	جینی
జీరల	جیرل
జీల	جیل
జీవజ	جیوج
జీవానాన్ధామ	جیواناندهام
జీవిథా	جیویتها
జుఈ	جوي
జూహీ	جوهی
జేఈనన	جیينن
జేగన	جیجن
జేత్వీక	جیتویك
జేయాన్ద్రణ	جییاندرن
జేలక్ష్మీ	جیلكشمی
జేశన	جیشن
జేహాన్నాఝ	جیهانناجه
జైచంద	جایتشند
జైదిశ	جایدیش
జైదీశ	جایدیش
జైదేవ	جایدیو
జైలేణ	جایلین
జ్ఞానవ	جنانو
జ్ఞానా	جنانا
జ్య భగవాన	جی بهجوان
జ్యోతిబాలా	جیوتیبالا
జ్యోత్సనీ	جیوتسنی
జ్హోశీల	جهوشیل
ఝంకృత	جهنكرت
ఝరల	جهرل
ఝినూక	جهینوك
ఝియాన	جهییان
ఝేన్శీ	جهینشی
ఝ్యాననీ	جهیاننی
టీనా	طینا
ఠాకరశీ	طهاكرشی
ఠుమకీ	طهومكی
తంగసామీ	تنجسامی
తంగామనీ	تنجامنی
తక్షక	تكشك
తనిష	تنیش
తనీశా	تنیشا
తనుం ప్రియా	تنون برییا
తనుంజాశ్రీ	تنونجاشری
తనుపా	تنوبا
తనుశ్రీ	تنوشری
తన్మయ	تنمی
తమిరా	تمیرا
తమోఘ్నా	تموجهنا
తరాశా	تراشا
తరిత	تریت
తరుణ	ترون
తరునా	ترونا
తరులతా	ترولتا
తరుశ్రీ	تروشری
తర్పనా	تربنا
తర్లికా	ترلیكا
తస్మయ	تسمی
తహేలీ	تهیلی
తాక్ష్యా	تاكشیا
తానాయ్మీ	تانایمی
తానికా	تانیكا
తానీగాఈ	تانیجاي
తానీసకా	تانیسكا
తానులీప	تانولیب
తానుసియా	تانوسییا
తాన్శ్రాయ	تانشرای
తాప్తీ	تابتی
తామాస్వినీ	تاماسوینی
తారకేశ	تاركیش
తారాక్ష	تاراكش
తారానీసేన	تارانیسین
తారూశ	تاروش
తిమిన	تیمین
తిరు	تیرو
తిరుపథీ	تیروبتهی
తీననీ	تیننی
తీరుమరణ	تیرومرن
తుంష్యతీ	تونشیتی
తుక్సా	توكسا
తునావా	توناوا
తుపమ	توبم
తుర్వీ	توروی
తులసీలతా	تولسیلتا
తులికా	تولیكا
తులీ	تولی
తులీనదార	تولیندار
తుశారా	توشارا
తుసరికా	توسریكا
తేగవిర	تیجویر
తేజీ	تیجی
తేజేన్ద్ర	تیجیندر
తేనుం	تینون
తేవాన	تیوان
తోయేశ	توییش
తోరుం	تورون
తౌతిక	تاوتیك
తౌలీక	تاولیك
త్రిజగతి	تریججتی
త్రినాథ	تریناته
త్రిలోకేశ	تریلوكیش
త్రిలోచనా	تریلوتشنا
త్రిశల	تریشل
త్రిశులినీ	تریشولینی
త్రిషర	تریشر
త్రీజోయా	تریجویا
త్రీపుర్తి	تریبورتی
త్రీయోగ	ترییوج
త్రీవిదా	تریویدا
త్వరితా	توریتا
థంసీ	تهنسی
థయా	تهیا
థార్సీన	تهارسین
థీక్శీకా	تهیكشیكا
థీనీథా	تهینیتها
థేజల	تهیجل
థ్రీశంఠ	تهریشنطه
దందాపానీ	دندابانی
దక్శీన్య	دكشینی
దక్షిత	دكشیت
దక్షీణ	دكشین
దనీలా	دنیلا
దన్యతా	دنیتا
దయానిధి	دیانیدهی
దరరేన	دررین
దరిద్రా ధావ్సీనీ	دریدرا دهاوسینی
దరిద్రీయానాశీనీ	دریدرییاناشینی
దర్పిత	دربیت
దర్మీనీ	درمینی
దర్మేన్దర	درمیندر
దర్శనా	درشنا
దర్శ్వానా	درشوانا
దలపతి	دلبتی
దలాపథీ	دلابتهی
దల్శేర	دلشیر
దహా	دها
దానాస్వీ	داناسوی
