child	parent
http://www.wikidata.org/entity/Q5555465	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q5559233	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q5849911	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q6189822	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q6741487	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q6753295	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q7033019	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q7053766	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q7126883	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q7269768	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q7558643	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q7566032	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q7842492	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q7877674	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q8075191	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q12858101	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q14437894	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q17027001	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q17050176	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q17081997	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q18390230	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q18393011	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q20504733	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q21480034	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q23580217	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q25104285	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q25105912	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q47496142	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q48767245	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q55603810	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q55651630	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q55651630	http://www.wikidata.org/entity/Q33831
http://www.wikidata.org/entity/Q65069060	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q7979	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q8013	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q26746	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q36395	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q36395	http://www.wikidata.org/entity/Q1346342
http://www.wikidata.org/entity/Q44661	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q44679	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q83529939	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q104876826	http://www.wikidata.org/entity/Q1860
http://www.wikidata.org/entity/Q3508036	http://www.wikidata.org/entity/Q4627
http://www.wikidata.org/entity/Q1468128	http://www.wikidata.org/entity/Q5218
